Category,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Region,Arab World,ARB,3.747161241,3.457446809,3.616775683,3.770681031,4.621264767,6.130931763,6.048109966,6.693043192,7.036766496,9.349593496,9.75376524,9.801577815,9.902309059,11.91967178,11.32850242,14.87204249,17.3693086,17.79340184,18.77984085,19.27561399,18.88402121,19.06077348,17.56653992,17.81901373
Region,Central Europe and the Baltics,CEB,11.48243359,10.96829477,11.48243359,12.96008294,15.56683587,16.11675127,16.26751017,17.14164185,16.72340426,17.09910676,16.84389621,16.81528662,17.07006369,17.02760085,18.4333759,19.26718814,19.21020156,19.70509383,20.11648746,19.89247312,22.30448866,22.72096252,23.69273484,24.80333179
Region,East Asia & Pacific,EAS,..,16.04683196,16.84560714,16.35759756,16.55372701,17.21675872,16.06960082,16.62534256,16.90890215,17.28579176,17.75023078,17.9584866,18.33398718,17.76942356,17.69867754,17.85670394,18.82742549,18.59551274,19.28737413,19.42618807,19.81060606,20.23570712,20.50381494,20.86924851
Region,Euro area,EMU,16.86884871,17.02906844,18.28188562,19.3314633,19.12943872,19.08230153,20.69045953,21.70504655,22.16014898,23.03944316,24.65213358,24.9594438,25.46253469,25.32377428,26.04672681,27.42420736,29.96539792,30.11075219,30.19607843,30.32123873,31.21308496,31.97000682,33.37119491,33.74205268
Region,Europe & Central Asia,ECS,14.5112782,15.15962721,16.05557297,16.56228253,16.53758972,18.33526743,17.76365706,18.81245755,19.16161998,19.53296703,21.00993528,21.34883292,21.89462189,21.99346998,22.70417423,23.75078779,24.79762547,25.34849596,25.74311927,26.00587911,27.38478521,27.9538377,29.45594431,30.15480443
Income,Heavily indebted poor countries (HIPC),HPC,8.939566705,9.340300457,9.119345525,..,11.91574724,13.51529826,13.52134441,14.05745368,16.89596537,17.11205588,17.63447433,17.59216052,17.7140255,18.31363278,20.35370773,21.49832164,22.10526316,22.15019763,23.84955752,24.02894698,24.30931359,24.05026723,24.12261217,25.46324892
Income,High income,HIC,15.80996885,15.89738607,16.87431476,..,17.77286876,18.41631674,18.9175964,19.45200155,20.05319654,20.55365946,21.35500331,21.56881254,22.08588957,22.18133786,22.75777337,23.27303402,24.68650571,25.21946565,25.80184639,25.84814216,27.1453254,27.79301864,28.97125567,29.64434355
Region,Latin America & Caribbean,LCN,13.13213703,15.35487434,14.33519851,15.15742547,14.37483049,16.11816533,18.4690158,19.00946832,20.20863658,20.34060926,21.10685194,22.16112838,22.70128633,23.00606061,23.03464755,24.48589192,25.75128268,27.46077033,27.90110999,28.80113502,29.74051896,31.196083,31.66977612,32.93384468
Income,Low & middle income,LMY,9.46642812,11.747851,11.86290442,12.07740624,12.4813482,13.75112309,13.55275483,14.43628234,15.04441576,15.54153602,16.47374792,17.20490394,17.83432474,17.9906117,18.70542664,19.79749724,20.62550952,21.01971748,21.71610169,22.06821148,22.2904675,22.71129885,23.02416376,23.53776768
Income,Low income,LIC,10.35846724,9.953810624,..,12.2057753,12.32310037,13.46383385,12.82450675,14.31879583,16.46351931,16.7522245,16.96351375,16.96948315,16.55504036,17.75368457,19.13102055,19.46832219,19.96358219,19.19174248,21.31174089,21.50624899,21.67077682,21.50279776,21.57825802,22.65410959
